issue_id,order_id,customer_id,customer_name,issue_type,priority,dollar_value,invoice_status,urgency_label,owner_id,owner_name,ai_fix,ai_confidence,ai_source,correct_jurisdiction,applied_jurisdiction,ship_to_state,bill_to_state,product,sla_days_remaining,opened_date,status,address_record,pre_invoice,rate_difference,capa_id,root_cause,risk_compliance,risk_penalty,risk_legal,risk_jurisdiction
TAX-ISS-001,ORD-022,CUST-2011,Northeast Medical,Tax Jurisdiction Mismatch,HIGH,8240.0,Pre-Invoice,2 days to invoice,TAX-03,Jennifer Mills,Correct to North Carolina Jurisdiction,92.0,SAP Address Master + State Tax Database,North Carolina,Texas,NC,TX,Exogen,2,2026-04-05,Open,ADDR-0441,1,2.5,CAPA-007,Ship-to address for CUST-2011 not updated in SAP after customer relocated from Texas to North Carolina — system defaulted to bill-to state for tax jurisdiction assignment.,Preventable if corrected before invoicing,8240.0 avoidable,State audit trigger avoidable,Contributing to 83% At Risk flag
TAX-ISS-002,ORD-019,CUST-3042,Valley Health,Tax Jurisdiction Mismatch,HIGH,6180.0,Pre-Invoice,4 days to invoice,TAX-04,Emily Carter,Correct to Ohio Jurisdiction,91.0,SAP Address Master + State Tax Database,Ohio,Florida,OH,FL,Exogen,4,2026-04-03,Open,ADDR-0380,1,2.5,CAPA-007,Ship-to address for CUST-3042 not updated in SAP after customer relocated from Florida to Ohio.,Preventable if corrected before invoicing,6180.0 avoidable,State audit trigger avoidable,Contributing to 83% At Risk flag
TAX-ISS-004,ORD-015,CUST-1087,Riverside Clinic,Tax Jurisdiction Mismatch,MEDIUM,4320.0,Post-Invoice,12 days since invoiced,TAX-03,Jennifer Mills,Correct to Georgia Jurisdiction,88.0,SAP Address Master + State Tax Database,Georgia,Pennsylvania,GA,PA,Exogen,5,2026-03-20,Open,ADDR-0290,0,2.5,CAPA-007,Billing address mismatch not caught at order creation for CUST-1087 — Pennsylvania rate applied on Georgia ship-to.,Post-invoice correction required,4320.0 penalty risk,Audit risk active,Contributing to 83% At Risk flag
TAX-ISS-005,ORD-011,CUST-0892,Central Hospital,Tax Jurisdiction Mismatch,MEDIUM,3640.0,Post-Invoice,18 days since invoiced,TAX-05,Robert Chan,Correct overpayment — reduce applied California rate to Arizona,85.0,SAP Address Master + State Tax Database,Arizona,California,AZ,CA,Exogen,7,2026-03-08,Open,ADDR-0120,0,-3.2,CAPA-007,Higher California tax rate applied on Central Hospital order — ship-to is Arizona and should use lower Arizona rate.,Post-invoice correction required,3640.0 overpayment exposure,Refund/credit risk active,Contributing to 83% At Risk flag
TAX-ISS-006,ORD-033,CUST-0892,Central Hospital,Tax Jurisdiction Mismatch,HIGH,3300.0,Pre-Invoice,3 days to invoice,TAX-05,Robert Chan,Correct to Illinois Jurisdiction,90.0,SAP Address Master + State Tax Database,Illinois,Missouri,IL,MO,Exogen,3,2026-04-02,Open,ADDR-0120,1,2.5,CAPA-007,Billing address still reflects prior Missouri bill-to after customer master relocation to Illinois.,Preventable if corrected before invoicing,3300.0 avoidable,State audit trigger avoidable,Contributing to 83% At Risk flag
TAX-ISS-007,ORD-034,CUST-1087,Riverside Clinic,Tax Jurisdiction Mismatch,MEDIUM,3300.0,Pre-Invoice,5 days to invoice,TAX-03,Jennifer Mills,Correct to Washington Jurisdiction,89.0,SAP Address Master + State Tax Database,Washington,Oregon,WA,OR,Exogen,5,2026-04-01,Open,ADDR-0290,1,2.5,CAPA-007,Stale bill-to jurisdiction on Riverside Clinic order entry — Oregon rate applied on Washington ship-to line.,Preventable if corrected before invoicing,3300.0 avoidable,State audit trigger avoidable,Contributing to 83% At Risk flag
TAX-ISS-008,ORD-035,CUST-3042,Valley Health,Tax Jurisdiction Mismatch,MEDIUM,3300.0,Post-Invoice,9 days since invoiced,TAX-04,Emily Carter,Correct overpayment — reduce New York rate to Ohio,87.0,SAP Address Master + State Tax Database,Ohio,New York,OH,NY,Exogen,6,2026-03-18,Open,ADDR-0380,0,-3.2,CAPA-007,New York tax rate applied on Valley Health Ohio ship-to order — customer over-taxed.,Post-invoice correction required,3300.0 overpayment exposure,Refund/credit risk active,Contributing to 83% At Risk flag
TAX-ISS-009,ORD-036,CUST-2011,Northeast Medical,Tax Jurisdiction Mismatch,MEDIUM,3300.0,Post-Invoice,14 days since invoiced,TAX-03,Jennifer Mills,Correct overpayment — reduce South Carolina rate to North Carolina,86.0,SAP Address Master + State Tax Database,North Carolina,South Carolina,NC,SC,Exogen,8,2026-03-10,Open,ADDR-0441,0,-3.2,CAPA-011,South Carolina rate applied on Northeast Medical North Carolina ship-to — overpayment pattern on split shipment.,Post-invoice correction required,3300.0 overpayment exposure,Refund/credit risk active,Contributing to 83% At Risk flag
TAX-ISS-010,ORD-037,CUST-0892,Central Hospital,Tax Jurisdiction Mismatch,MEDIUM,2160.0,Post-Invoice,11 days since invoiced,TAX-05,Robert Chan,Correct overpayment — Nevada to Arizona on supplemental line,84.0,SAP Address Master + State Tax Database,Arizona,Nevada,AZ,NV,Exogen,6,2026-03-15,Open,ADDR-0120,0,-2.8,CAPA-007,Supplemental invoice line used Nevada nexus rate instead of Arizona ship-to rate.,Post-invoice correction required,2160.0 overpayment exposure,Refund/credit risk active,Contributing to 83% At Risk flag
TAX-ISS-011,ORD-028,CUST-0892,Central Hospital,Multi-Jurisdiction Compliance Filing,HIGH,156000.0,Post-Invoice,7 days since invoiced,TAX-05,Robert Chan,Correct multi-jurisdiction filing for ORD-028 and align tax records across all affected states,90.0,State Tax Database + Compliance Register,Virginia,Maryland,VA,MD,Exogen,7,2026-03-25,Open,ADDR-0120,0,2.5,CAPA-007,Billing address spans Virginia and Maryland — jurisdiction assignment selected incorrect primary state — aligns with CCO-ISSUE-002 executive approval,Post-invoice correction required,156000.0 penalty exposure,Multi-state filing violation — regulatory review,Contributing to 83% At Risk flag
